tweet	time	tweet_id	lat	long
"Awkward award goes to RT""@GMufcknRod_: my mom was giving birth during the big 89' quake."""	 2014-08-24 10:52:16	259966107	37.3336181	-121.9934427
6.1 Earthquake	 2014-08-24 10:54:15	457237907	37.35740282	-122.0905876
@leannrimes did you feel the earthquake Leann? ????	 2014-08-24 10:54:41	47848153	37.2504872	-121.8068753
3 hours after arriving in California: Earthquake. #GoldenStateWelcome (@ City Gate at Cupertino Apartments) https://t.co/juO3tt7bCs	 2014-08-24 10:55:02	515939837	37.3228	-122.002
Hope everyone in the bay is okay after that shaker! #earthquake	 2014-08-24 10:55:26	17920581	39.43163022	-120.0255699
Honestly I was woken up not by the #earthquake but by a phone call about it. Bummed I missed it but happy everyone seems ok.	 2014-08-24 10:55:44	269937984	37.30400946	-121.9001748
Earthquake helped me walk straight. #Sat.	 2014-08-24 10:56:30	260590235	37.26717893	-121.979556
É??@kare11: USGS says 6.0-magnitude earthquake hit northern San Francisco Bay area.É?ù Woke me up in San Jose!	 2014-08-24 10:56:54	607369200	37.31720767	-121.9092299
Earthquake: For X.  via (@semil) @ProductHunt http://t.co/l7x7xXof2K	 2014-08-24 10:58:26	277618799	37.350647	-122.058128
And the aftershocks are rolling in. Thx @RosenbergMerc for the updates	 2014-08-24 10:58:53	269937984	37.3039066	-121.8997388
#quake I was awake &amp; watching Cosmos with @neiltyson on my iPhone just now in Santa Cruz when it hit. EarthShakingUsAwake. #insomnia #napa	 2014-08-24 11:00:34	185448870	36.98605781	-122.0111464
@GMufcknRod_ i know right? Why would you send this to someone at 4 am after a big earthquake?	 2014-08-24 11:00:50	781639459	37.3447295	-121.8245924
Am I the only one who didn't feel the earthquake ? ???Å &amp; I was outside	 2014-08-24 11:02:04	172472073	37.3139903	-121.9524294
Sitting on the 3rd floor if a building in Cupertino as part of an SAP EM go-live effort. Just experienced the 6.0 earthquake!!!	 2014-08-24 11:02:39	12128462	37.32622076	-122.0069663
Wow waking up at 3am because of a 6.0 eartquake close to San Francisco pretty scary experience when you are on the 7th floor in a hotel!	 2014-08-24 11:02:57	888364116	37.32938396	-121.8908484
É??@KTVU: #BREAKING eaRTHQUAKE FELT IN BAY AREAÉ?ù i didn't feel shit ):	 2014-08-24 11:03:32	1002702498	37.2242882	-121.8866406
So apparently there was an earthquake. Didn't feel a thing.	 2014-08-24 11:03:52	426270514	37.27424432	-121.84867
Earthquake killllaaa	 2014-08-24 11:04:31	28608706	37.3113368	-121.9087696
Twitter is amazing and I don't think I'll be back to sleep for at least another hour. #earthquake	 2014-08-24 11:04:37	269937984	37.30397005	-121.8998614
Waiting for aftershocks is not cool.... #scared #nosleep	 2014-08-24 11:08:31	296033369	37.34521039	-121.891795
I just think the scariest part was that the earthquake started to feel stronger halfway through.	 2014-08-24 11:09:35	1468779006	37.3139174	-121.8084949
Earthquake! Awake now for sure!	 2014-08-24 11:09:55	26494851	37.31002993	-121.8772181
Glad everyone is ok. Here is some info to be prepared for the after shocks @geographile: http://t.co/oOIFhhgHtx #earthquake	 2014-08-24 11:10:06	199877699	37.22233447	-122.0007848
2.0 magnitude #earthquake. 24 km from #KingCity  CA  #UnitedStates http://t.co/G8HWbcEpmz	 2014-08-24 11:10:09	362523555	36.3838	-120.9563
there was a fuckin earthquake?? tf!!!	 2014-08-24 11:10:08	54474466	37.25396612	-121.8822094
Well idk wtf yall talking bout earthquake shit.	 2014-08-24 11:12:06	794565326	37.32895184	-121.8291153
6.0 Magnitude Earthquake Near Napa http://t.co/DBNe0F7xcM	 2014-08-24 11:13:27	2257898534	37.225662	-121.786983
